id;state;slug;title;short_title;icon;novelty_order;featured_order;teaser_title;teaser_text;detail_title;detail_text;created_at;created_by;updated_at;updated_by;deleted_at;deleted_by;order;seo_text
1;online;adobe-acrobat;Adobe Acrobat;Acrobat;topics/adobe-acrobat.svg;;93;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
2;online;adobe-after-effects;Adobe After Effects;After Effects;topics/adobe-after-effects.svg;;39;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
3;online;adobe-audition;Adobe Audition;Audition;topics/adobe-audition.svg;;119;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
4;online;adobe-bridge;Adobe Bridge;Bridge;topics/adobe-bridge.svg;;151;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
5;online;adobe-captivate;Adobe Captivate;Captivate;topics/adobe-captivate.svg;;129;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
6;online;adobe-connect;Adobe Connect;Connect;topics/adobe-connect.svg;;102;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
7;online;adobe-dreamweaver;Adobe Dreamweaver;Dreamweaver;topics/adobe-dreamweaver.svg;;152;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
8;online;adobe-framemaker;Adobe FrameMaker;FrameMaker;topics/adobe-framemaker.svg;;121;;;;;02.12.22 08:11;;02.12.22 07:11;;;;;
9;online;adobe-illustrator;Adobe Illustrator;Illustrator;topics/adobe-illustrator.svg;;2;;;;;02.12.22 08:11;;01.06.23 12:41;5;;;;"Du suchst eine Schulung zu Adobe Illustrator? Du möchtest deine Fähigkeiten in diesem Grafikprogramm verbessern und dich weiterbilden? Dann bist du hier genau richtig!

Adobe Illustrator ist eine professionelle Grafiksoftware, die vor allem im Bereich der Vektorgrafik und Illustration eingesetzt wird. Mit Illustrator kannst du Logos, Illustrationen, Grafiken und Layouts erstellen und bearbeiten.

Es ist sinnvoll, gut mit Adobe Illustrator umgehen zu können, da diese Fähigkeiten in vielen Branchen gefragt sind. Ob im Marketing, in der Werbung, im Medien- oder im Designbereich – die Kenntnisse in Illustrator sind ein wertvolles Asset, um sich im Job abzusetzen und sich in einem breiten Anwendungsbereich zu bewerben.

Wir bieten dir Schulungen zu Adobe Illustrator für den Start und für Fortgeschrittene an. Du hast die Wahl zwischen Schulungen vor Ort und unserem Live-Online-Training, das von einem erfahrenen Trainingsteam geleitet wird. Unsere individuellen Schulungen sind auf deine Bedürfnisse und Ziele abgestimmt. Sie ermöglichen dir eine gezielte Weiterbildung. Ein individueller Kurs bietet dir die Möglichkeit, dich auf deine persönlichen Herausforderungen und Schwächen zu konzentrieren und diese gezielt anzugehen. Du hast die Möglichkeit, deine eigenen Projekte und Ideen einzubringen und kannst so direkt auf deine praktischen Anwendungsfälle eingehen.

Außerdem kann der Lehrstoff auf dein vorhandenes Wissen und deine Erfahrungen abgestimmt werden, sodass du nicht wiederholen musst, was du bereits kennst. Du kannst dich auf die Themen konzentrieren, die für dich am relevantesten sind. Unsere Kurse zu Adobe Illustrator bieten dir also eine gezielte Weiterbildung, die auf deine individuellen Bedürfnisse abgestimmt ist und dich effektiv dabei unterstützt, deine Fähigkeiten in diesem Grafikprogramm zu verbessern.

Mit unseren Schulungen lernst du die Funktionen und Möglichkeiten von Adobe Illustrator kennen und verstehen. Du wirst deine eigenen Projekte schneller und effektiver umsetzen können. Melde dich jetzt an und starte deine Schulung zu Adobe Illustrator!"
10;online;adobe-indesign;Adobe InDesign;InDesign;topics/adobe-indesign.svg;;3;;;;;02.12.22 08:11;;01.06.23 12:41;5;;;;"Du möchtest wissen, wie du Druckerzeugnisse in Form von Flyern, Broschüren oder Visitenkarten professionell erstellen kannst? Lerne in unserem Online Kurs die Anwendung InDesign für deinen praktischen Aufgabenbereich kennen.

Adobe InDesign ist das bevorzugte Programmpaket fürs Desktop Publishing im üblichen Print-Bereich sowie für digitale Medien. Gestalte künftig in der Technischen Redaktion eigenständig Layout und Satz für deine Offline Zeitschriften, Webprojekte und sonstigen Print-Produkte.

Die praktikable Software Adobe InDesign ist für alle Layout Profis seit langer Zeit das Standardtool. In der Anfänger:innen Schulung gelangst du zu fundierten Basic Skills für dieses weit verbreitete Druckdesign Werkzeug innerhalb der Werbe- und Medienbranche.

Versierte Kenntnisse in Adobe InDesign unterstützen dich in deiner kreativen Produktivität beim Entwurf hochwertiger Medienerzeugnisse. Überdies wirkt das Adobe Programm problemlos mit anderen leistungsstarken Apps wie Adobe Illustrator, Adobe Acrobat und Adobe Photoshop zusammen. Außer Konkurrenz ist die komfortable Integration des Softwarepakets in die Creative Cloud von Adobe. Erspare dir mit unserem Live-Online-Training in Zukunft viel Aufwand für komplexe Design-Herausforderungen.

Als InDesign Einsteiger:in lernst du anfänglich die souveräne Handhabung der Benutzeroberfläche und die wichtigsten Programmfeatures kennen. Darüber hinaus erhältst du vielfältige Hinweise und Tipps für die richtigen Einstellungen des Programmmoduls.

Unsere praxiserfahrenen Dozent:innen demonstrieren dir während der Live Online Weiterbildung die wesentlichen Nutzungsmöglichkeiten von Adobe InDesign. Zugleich zeigen dir unsere Trainer:innen in schrittweisen Anleitungen, wie typografische Präzision auf Grundlage dieses starken Adobe Tools gelingt. So wirst du Illustrationen und Designs in deinem Berufsleben zügig und gekonnt umsetzen."
